CHR	startp	endp	n.sgRNAs	avg.logFC	guideIdx
17	56436139	57168718	49	-0.3607	71421, 71469
17	57196726	57208726	5	-2.4949	71470, 71474
17	57232302	57652833	28	-0.3445	71475, 71502
17	57657216	58011819	30	-1.0796	71503, 71532
17	58011820	59924513	65	-0.3364	71533, 71597
17	59975086	59984820	3	-2.1049	71598, 71600
17	59988910	61841426	67	-0.2082	71601, 71667
17	61843366	61908296	16	-1.5598	71668, 71683
17	61912102	62006833	25	-0.2017	71684, 71708
17	62007146	62081140	23	0.1845	71709, 71731
17	62082532	65190141	90	-0.2482	71732, 71821
17	65343579	65362549	5	-3.6207	71822, 71826
17	65529044	65714211	7	-0.34	71827, 71833
17	65722673	65822372	6	-1.7426	71834, 71839
17	65887969	66267752	22	-0.6169	71840, 71861
17	66270078	72999673	224	-0.0847	71862, 72085
17	73008945	73143715	33	-0.54990000000000006	72086, 72118
17	73143729	73221515	8	-1.5863	72119, 72126
17	73237479	73695944	59	-0.2229	72127, 72185
17	73698573	73699907	3	-3.112	72186, 72188
17	73727433	74729452	168	-0.2527	72189, 72356
17	74732936	74733108	5	-3.0671	72357, 72361
17	74737071	76200809	55	-0.2086	72362, 72416
17	76210485	76210876	5	-2.6519	72417, 72421
17	76228206	78083810	96	-0.202	72422, 72517
17	78113523	78120617	4	-4.8902	72518, 72521
17	78120629	78450140	31	-0.1827	72522, 72552
17	78681698	78970877	10	-1.3352	72553, 72562
17	79031679	79519244	49	-0.377	72563, 72611
17	79571572	79580433	5	-2.85	72612, 72616
17	79618662	79827669	60	-0.313	72617, 72676
17	79848649	79852478	6	-1.9201	72677, 72682
17	79857135	79857808	5	0.1439	72683, 72687
17	79857803	79857863	3	-4.109	72688, 72690
17	79860222	80011225	64	-0.1709	72691, 72754
17	80011849	80013099	4	-1.7644	72755, 72758
17	80019558	81043082	104	-0.172	72759, 72862
18	163417	2577780	52	0.0079	72863, 72914
18	2578068	2579029	2	-4.4609	72915, 72916
18	2585132	9119379	98	0.2139	72917, 73014
18	9119528	9122658	4	-1.0613	73015, 73018
18	9211681	10471802	45	0.1056	73019, 73063
18	10532741	10540397	4	-2.7105	73064, 73067
18	10546386	12311035	43	0.1895	73068, 73110
18	12356731	12363822	4	-1.9625	73111, 73114
18	12367091	12859236	26	0.0509	73115, 73140
18	12955472	13056085	10	-0.8892	73141, 73150
18	13645126	13737068	11	0.034	73151, 73161
18	13737112	13741666	4	-2.4996	73162, 73165
