GENE	BF
ARHGAP11B	3.608
ARHGAP12	-16.852
ARHGAP15	-15.369
ARHGAP17	-16.339
ARHGAP18	-15.570
ARHGAP19	-10.552
ARHGAP20	-13.020
ARHGAP21	-0.404
ARHGAP22	-14.951
ARHGAP23	-11.793
ARHGAP24	-4.844
ARHGAP25	-18.095
ARHGAP26	-8.591
ARHGAP27	-5.385
ARHGAP28	-16.998
ARHGAP29	-10.543
ARHGAP30	-7.757
ARHGAP31	-8.568
ARHGAP32	-12.902
ARHGAP33	-16.030
ARHGAP35	-22.918
ARHGAP36	-22.946
ARHGAP39	-10.993
ARHGAP4	-11.992
ARHGAP44	-9.965
ARHGAP5	-16.169
ARHGAP6	-11.711
ARHGAP8	-10.214
ARHGAP9	-18.334
ARHGDIA	-21.992
ARHGDIB	-2.192
ARHGDIG	-8.459
ARHGEF1	-13.277
ARHGEF10	-12.266
ARHGEF10L	-12.402
ARHGEF11	-10.556
ARHGEF12	-10.155
ARHGEF15	-11.533
ARHGEF16	-10.968
ARHGEF17	-14.297
ARHGEF18	-17.582
ARHGEF19	-14.154
ARHGEF2	-14.305
ARHGEF25	-19.754
ARHGEF26	-13.620
ARHGEF28	-18.370
ARHGEF3	-13.732
ARHGEF33	-6.878
ARHGEF35	-3.475
ARHGEF37	-16.201
ARHGEF38	1.938
ARHGEF39	-18.726
ARHGEF4	-16.128
ARHGEF40	-13.718
ARHGEF5	-8.949
ARHGEF6	-14.052
ARHGEF7	-17.448
ARHGEF9	-10.808
ARID1A	-10.733
ARID1B	-13.628
ARID2	-10.470
ARID3A	-14.648
ARID3B	-7.744
ARID3C	-12.143
ARID4A	-13.351
ARID4B	-16.808
ARID5A	-18.012
ARID5B	-13.023
ARIH1	50.047
ARIH2	-12.452
ARIH2OS	-15.009
ARL1	0.698
ARL10	-6.245
ARL11	-9.314
ARL13A	-8.168
ARL13B	-12.207
ARL14	-10.265
ARL14EP	-0.611
ARL14EPL	-13.083
ARL15	-17.463
ARL16	-17.760
ARL2	16.035
ARL2BP	-3.046
ARL3	-7.163
ARL4A	-10.853
ARL4C	-13.450
ARL4D	-12.441
ARL5A	-4.252
ARL5B	-12.649
ARL5C	-9.736
ARL6	-14.129
ARL6IP1	-8.081
ARL6IP4	-10.933
ARL6IP5	-8.817
ARL6IP6	-4.683
ARL8A	-11.513
ARL8B	6.172
ARL9	-13.885
ARMC1	-4.405
ARMC10	4.342
ARMC12	-13.594
ARMC2	-14.716
ARMC3	-16.172
ARMC4	-15.064
ARMC5	-6.257
ARMC6	-12.273
ARMC7	17.915
ARMC8	-13.831
ARMC9	-2.917
ARMCX1	-14.984
ARMCX2	-10.695
ARMCX3	-8.239
ARMCX4	-9.187
ARMCX5	-9.527
ARMCX6	-9.885
ARMS2	-14.112
ARNT	-10.592
ARNT2	-14.270
ARNTL	-14.089
ARNTL2	-17.146
ARPC1A	-7.936
ARPC1B	-14.496
ARPC2	-6.147
ARPC3	5.707
ARPC4	3.727
ARPC4-TTLL3	-8.866
ARPC5	-9.547
ARPC5L	-10.222
ARPP19	9.825
ARPP21	-23.095
ARR3	-12.812
ARRB1	-11.416
ARRB2	-13.804
ARRDC1	-10.433
ARRDC2	-10.612
ARRDC3	-19.708
ARRDC4	-17.792
ARRDC5	-19.166
ARSA	-12.668
ARSB	-23.286
ARSD	-12.038
ARSE	-5.956
ARSF	-14.311
ARSG	-14.705
ARSH	-8.921
ARSI	-15.828
ARSJ	-15.217
ARSK	-7.342
ART1	-15.431
ART3	-10.729
ART4	-12.730
ART5	-14.499
ARTN	-4.412
ARV1	-9.486
ARVCF	-19.529
ARX	-11.296
AS3MT	-11.620
ASAH1	-9.196
ASAH2	-11.618
ASAH2B	-8.823
ASAP1	-15.627
ASAP2	-20.288
ASAP3	-6.256
ASB1	-16.720
ASB10	-14.058
ASB11	-13.918
ASB12	-11.276
ASB13	-16.611
ASB14	-16.516
ASB15	-20.880
ASB16	-12.228
ASB17	-11.651
ASB18	-13.729
ASB2	-14.143
ASB3	-19.701
ASB4	-12.856
ASB5	-11.822
ASB6	-8.839
ASB7	-14.358
ASB8	-12.151
ASB9	-16.058
ASCC1	-6.029
ASCC2	-14.773
ASCC3	19.911
ASCL1	-18.073
ASCL2	-16.596
ASCL3	-13.999
ASCL4	-16.665
ASCL5	-10.037
ASF1A	-14.894
ASF1B	-16.117
ASGR1	-13.022
ASGR2	-17.606
ASH1L	-16.526
ASH2L	-2.116
ASIC1	-3.825
ASIC2	-11.650
ASIC3	-13.629
ASIC4	-9.598
