genes	921	Mel202	Mel270	Mel285	MP38	MP41	MP46	OMM1	OMM23	OMM25
RAB24	-0.020806709154428404	0.03574487731339899	-0.09551255744593243	-0.10669320062057079	-0.0946939074917079	-0.10883229433701691	0.011415897358918639	-0.15003367347815988	-0.19981943800466592	-0.1430920530322597
PRELID1	-1.3735301337725456	-3.6108473728463237	-2.47491034710404	-1.2028591415015328	-1.299321629663502	-2.067764015040873	-0.50488907847165	-2.4748363921451935	-2.734284210224007	-1.8463287518722056
MXD3	0.5223350852481449	0.17213881163301356	0.19899438700438846	0.27437545553906695	0.09136784168593133	0.3105214444490028	0.3300931405792	0.23505153471365536	0.23658874709539257	0.2008608754429682
LMAN2	0.5090432508636559	-0.14525149954294303	0.14042724745028656	0.21069820803852668	0.20070761360788314	0.04224650498213705	0.10816358362736832	0.1508240374608092	0.1902087746066607	0.1574549665814253
RGS14	0.01713364951664773	0.24272603900426035	0.16931455393128975	0.31275499684911895	-0.04006716030031731	0.13543326961414184	0.0809696758044639	0.20557642071282306	0.28197556394495543	0.16872237595187514
SLC34A1	0.7720609236000495	0.3878752895590232	0.09130402901592508	0.3213421454242787	0.18195895921312707	0.10509031861919049	0.06852459870375115	0.165498923318561	0.3338708975106789	0.2045685538611496
PFN3	0.6360953987331727	0.23603378217267235	-0.07261013212450317	0.33041649502124676	-0.17881981701400818	-0.009455486153280046	-0.03755871570196488	-0.1277782217095671	0.16231838431696363	-6.93647791797602e-4
F12	0.28938598846913904	0.07484876897405093	-0.037598576140592796	0.030774630452806807	-0.1144050531460688	-0.0666622461121727	0.18461738432267175	0.09271254685443599	0.34186414434072865	0.13930756145990905
GRK6	0.06304348185130394	0.0019746822512088703	0.0695873075921678	0.4417974287415314	0.12342773418713672	-0.0233003627530353	0.21082261090439453	-0.035864152789953585	0.19304284235078392	-0.13004775982124794
PRR7	-0.20285056949459046	-0.5243741816113736	-0.2009602919292257	-0.38984227451988	-0.16601706406708372	-0.08237991884705184	-0.19404489845184897	-0.20186030062998006	0.13971724223288157	-0.26557952143973973
DBN1	-0.039165395132724656	-0.09444295204940484	-0.07892531561127189	-0.13651294265678843	-0.026838265402344186	-0.2383983846660763	-0.028684444503722255	-0.08165935913697436	-0.0014951057148303193	-0.07013655939305169
